what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1323588389423
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1323588389423
started,bundle,org.eclipse.wst.common.frameworks,1.1.300.v200904160730,"org.eclipse.wst.common.frameworks",1323588389423
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.101.v201007150403,"org.eclipse.wst.common.project.facet.core",1323588389423
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1323588389423
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1323588389423
started,bundle,org.polarion.eclipse.team.svn.connector.javahl16,2.2.2.I20100512-1900,"org.polarion.eclipse.team.svn.connector.javahl16",1323588389423
started,bundle,org.polarion.eclipse.team.svn.connector.svnkit16,2.2.2.I20100512-1900,"org.polarion.eclipse.team.svn.connector.svnkit16",1323588389423
started,bundle,org.tigris.subversion.clientadapter,1.6.12,"org.tigris.subversion.clientadapter",1323588389423
started,bundle,org.tigris.subversion.subclipse.core,1.6.13,"org.tigris.subversion.subclipse.core",1323588389423
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1323588389423
started,bundle,com.google.appengine.eclipse.core,1.4.0.v201010280047,"com.google.appengine.eclipse.core",1323588389423
started,bundle,com.google.appengine.eclipse.sdkbundle.1.3.8,1.3.8.v201010161055,"com.google.appengine.eclipse.sdkbundle.1.3.8",1323588389423
started,bundle,com.google.gdt.eclipse.core,1.4.0.v201010280047,"com.google.gdt.eclipse.core",1323588389423
started,bundle,com.google.gdt.eclipse.platform.e35,1.4.0.v201010280047,"com.google.gdt.eclipse.platform.e35",1323588389423
started,bundle,com.google.gdt.eclipse.platform.shared,1.4.0.v201010280047,"com.google.gdt.eclipse.platform.shared",1323588389423
started,bundle,com.google.gdt.eclipse.suite,1.4.0.v201010280047,"com.google.gdt.eclipse.suite",1323588389423
started,bundle,com.google.gwt.eclipse.core,1.4.0.v201010280047,"com.google.gwt.eclipse.core",1323588389423
started,bundle,com.google.gwt.eclipse.sdkbundle.2.1.0,2.1.0.v201010280047,"com.google.gwt.eclipse.sdkbundle.2.1.0",1323588389423
started,bundle,org.eclipse.ecf,3.1.200.v20101029-1626,"org.eclipse.ecf",1323588389423
started,bundle,org.eclipse.ecf.filetransfer,5.0.0.v20101029-1626,"org.eclipse.ecf.filetransfer",1323588389423
started,bundle,org.eclipse.ecf.identity,3.1.100.v20101029-1626,"org.eclipse.ecf.identity",1323588389423
started,bundle,org.eclipse.ecf.provider.filetransfer,3.2.0.v20101029-1626,"org.eclipse.ecf.provider.filetransfer",1323588389423
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20101029-1626,"org.eclipse.ecf.provider.filetransfer.httpclient",1323588389423
started,bundle,com.instantiations.common.core,6.0.0.r35x201012150828,"com.instantiations.common.core",1323588389423
